INFECTION LOCATIONS - LOG| Total time(s):84TOTAL INFECTIONS:146,
X-Position, Y-Position
(-450.00, 450.00)
(450.00, -450.00)
(112.38, -124.52)
(59.51, -16.06)
(65.65, -15.60)
(65.97, -20.77)
(113.93, -141.60)
(105.63, 273.31)
(200.79, -20.75)
(114.27, -147.69)
(82.48, -19.21)
(12.93, 81.96)
(110.04, -121.13)
(-144.74, -11.00)
(109.83, -115.01)
(-146.50, -6.80)
(-145.99, -15.30)
(-143.31, -1.30)
(-142.92, -0.24)
(106.15, -142.06)
(-148.47, -2.36)
(13.05, 44.54)
(106.44, -144.99)
(-144.52, -24.21)
(-142.85, 2.71)
(123.39, 134.69)
(125.74, 134.44)
(10.72, -21.24)
(118.61, 122.30)
(110.10, -157.60)
(5.31, -34.37)
(107.18, 7.73)
(-142.83, 25.92)
(-143.48, -32.90)
(105.58, -166.65)
(113.44, 9.81)
(25.36, 130.00)
(139.36, -18.24)
(-145.16, -66.55)
(65.73, -16.82)
(-110.04, -23.67)
(-143.21, -40.57)
(-143.36, 42.44)
(26.75, -12.98)
(124.17, 146.18)
(-152.53, -47.72)
(-145.29, 34.08)
(-155.29, -48.10)
(-136.17, 31.65)
(115.41, 26.45)
(105.24, -187.74)
(107.70, 70.12)
(110.30, 72.68)
(8.34, 1.59)
(-143.52, -100.01)
(117.51, 117.48)
(46.04, 138.11)
(14.82, 50.72)
(48.14, 138.80)
(44.55, 141.61)
(-66.63, -21.06)
(-144.87, -8.48)
(25.03, 143.65)
(-151.90, 67.76)
(62.32, 142.65)
(121.94, 59.94)
(-147.21, 72.22)
(-54.06, -23.45)
(105.58, 31.24)
(10.68, 70.86)
(133.85, -15.66)
(-47.68, 71.16)
(85.66, 141.10)
(-47.14, 73.41)
(115.43, 119.00)
(-195.88, -62.57)
(159.64, 293.64)
(-140.03, 16.44)
(-3.91, 41.18)
(-146.41, 97.50)
(-144.33, 60.41)
(13.21, 109.23)
(98.12, -15.91)
(120.27, 132.99)
(-38.14, 140.57)
(-57.96, -101.88)
(122.57, 285.70)
(-52.23, 64.07)
(117.98, 283.49)
(-268.88, -101.64)
(-144.42, 105.58)
(-64.92, 140.06)
(-40.40, 121.96)
(7.23, -161.38)
(21.04, 124.04)
(-299.88, -120.85)
(73.34, -18.80)
(158.03, -184.17)
(-140.66, -155.58)
(100.25, 232.57)
(96.94, 231.50)
(121.83, 59.96)
(-320.75, -130.78)
(62.22, -102.48)
(62.84, -102.16)
(-325.75, -132.94)
(-157.79, 192.40)
(-7.11, 173.17)
(-142.77, -160.52)
(-142.16, -160.35)
(-144.29, 213.05)
(-141.38, -159.52)
(-351.80, -144.18)
(-366.74, -152.64)
(-371.43, -155.49)
(124.43, 61.03)
(61.81, -180.84)
(96.18, 188.91)
(-3.45, -263.06)
(-28.10, 235.72)
(109.25, 89.13)
(94.38, 230.31)
(-29.39, 307.78)
(-193.81, -63.53)
(105.23, -185.54)
(98.67, 236.49)
(-2.89, -63.23)
(0.87, -180.86)
(-66.96, -22.01)
(-152.49, 221.35)
(102.65, -224.88)
(26.81, 130.80)
(129.91, -175.81)
(-339.52, -56.82)
(236.34, -102.95)
(1.86, -250.18)
(-360.12, -16.85)
(-331.01, -282.29)
